BusinessName,PostCode,RatingValue
222 Cafe,HA2 8DU,5
4 D restaurant,HA1 2AT,AwaitingInspection
9000 BC Bubble Tea & Coffee,HA1 3QF,5
A-1 Peanuts,,5
A2B Veg Restaurant,HA2 9TW,4
Abm catering @ Hujjat Primary School,HA3 6RR,5
Adam's Burgers,HA2 0EU,5
AFC and Cafe Express,HA8 5QL,4
Ahimsa The Vegan Cafe,HA5 3JD,5
AIP (Alliance in Partnership),HA2 0JA,5
Alexandras,HA5 1HR,1
Alpa's Kitchen,,3
Americanu Express,HA3 5AB,5
Amirah Lounge harrow ltd,HA1 2DD,2
Ammachi Idli & Dosa,HA1 2TY,5
Amma's,HA2 9BU,3
Ammus express,HA2 8DU,3
Ancona,HA1 2TA,5
Apollonia Restaurant,HA7 4AR,5
Ashapura Caterers,HA3 8UJ,5
Asian Tea Shop,HA2 8DU,AwaitingInspection
Atlantis Fish & Chips,HA7 3NH,5
Atlantis London Ltd,HA2 7SR,2
Augustina's Tea Room,HA5 5LU,5
Aviv Restaurant,,4
Awadh,HA5 5PJ,AwaitingInspection
Aylward Primary School,HA7 4RE,5
Aysu Restaurant,HA3 9HU,3
A-Z Superstore,HA2 9RY,5
B & K Salt Beef Bar,HA8 6NL,3
B & K Salt Beef Bar,HA5 4JN,5
Baadshah Lounge,HA2 9SE,4
Balti Hut Restaurant,HA2 9SE,1
Bamboo House,HA2 9TW,2
Bandaa,HA5 4JS,5
Barnet Football Club,,4
Barracuda Restaurant,HA1 4UW,5
Barrett Homes Building Site Canteen,HA1 4TR,5
Barrett's PH,HA3 5AH,4
Basilian,HA7 4LP,5
Battels,HA1 3LL,4
Bella pizza,HA7 1AR,1
Belmont Bay,HA3 8RD,5
Belmont Cafe,HA3 8RF,5
Belmont Tandoori,HA3 8SD,3
Bentley Priory Museum Cafe,HA7 3FB,5
Bespoke Events & Catering Ltd,,3
Best West Kebab & Pizza Ltd,HA2 8HA,4
BIRYANIMAX HARROW,HA3 7AL,AwaitingInspection
Bistro101,HA7 3DZ,5
Black Pepper,HA8 5EH,5
Blue Room Sports Venue,HA2 6NN,5
Bnova,HA7 1AR,5
Bombay Central,HA3 6HS,5
Boulevard Club,HA3 8RP,4
Boxtree Bistro,,AwaitingInspection
BUBBLE BEAR,HA2 8HS,5
