BusinessName,PostCode,RatingValue
15Grams,SE3 0AX,AwaitingInspection
28 Well Hung,SE14 5RL,AwaitingInspection
2T'S CAFE,SE14 5DG,AwaitingInspection
3KOBROS,SE14 5RS,5
7 Burgers,SE14 6AS,5
7 Burgers,SE14 6AS,5
88 Lounge Ltd,SE4 1UY,AwaitingInspection
999 Club Trust T/A 999 Club,SE8 4PA,AwaitingInspection
A I P Alliance Partnership,SE26 4HH,5
A La Lluna Ltd,SE13 6JZ,3
A Touch of Class Caribbean Kitchen,SE13 5LD,5
A2 Delicious,SE6 4AF,AwaitingInspection
ABM Catering,SE6 3DT,5
Admiral Casino,SE6 4HW,Exempt
Admiral Casino,SE13 5JH,Exempt
After Hours,SE14 5UL,5
After Hours Express Limited,BR1 4PQ,5
Aga's Little Deli,SE23 3HN,1
Air Thrill,SE6 2DD,5
Alanya Steak & Kebab Hse,SE14 5AA,AwaitingInspection
Alaowerri Restaurant,SE14 5DJ,AwaitingInspection
All 4 Mind,SE6 1QD,Exempt
All Inn One,SE23 2NE,AwaitingInspection
Alla Salute!,SE13 7QD,AwaitingInspection
Alliance in Partnership,SE23 1AS,4
Alliance In Partnership Ltd,SE26 4AQ,5
Aloosh,SE14 6LA,AwaitingInspection
Aloosh Restaurant,SE14 6LA,3
Alpha Lounge Restaurant and Bar,SE13 5JH,1
American Bites Ltd,SE14 5HD,3
Amrutha Honor Oak,SE23 1DZ,3
Anamore Restaurant,SE13 6AA,4
Ana's Home Cooking Ltd,SE4 1XF,3
Anyi,SE12 0AA,3
Arlo & Moe,SE13 6SN,5
Arlo and Moe,SE4 2BT,AwaitingInspection
Artis Blackheath,SE3 9LJ,AwaitingInspection
ARTIST CAKE,SE26 5HF,AwaitingInspection
Aspects - Food By Design,SE23 1SH,AwaitingInspection
Atalian Servest Food Co,SE6 2PG,5
Avalon Cafe,SE14 5RW,3
Aytens Cafe,SE6 3ND,2
Babur Brasserie Indian   Restaurant,SE23 1JP,5
Babur Home Dining,SE4 2PJ,5
Babur Restaurant,SE23 1JP,5
Baburchi,SE6 3BT,3
Badger Badger,,5
Bamboo Garden,SE4 2SF,4
Bamboo GardenTakeaway,SE12 8PU,3
Bang Bang Burger @ Honor Oak Pub,SE23 1RH,5
Banh Creekside,SE8 4SA,4
Bar Luciano Ltd,SE12 8RA,5
Barakah,SE26 5EW,4
Barings Fish & Chips,SE12 0JS,4
Barista & Baker,SE8 3DZ,AwaitingInspection
Barvvs,SE6 1AT,4
BB & Friends Cafe,SE23 3HN,3
Bears Dough,SE6 4JU,AwaitingInspection
Beckenham Place Cafe,BR3 5BP,AwaitingInspection
Beijing,SE12 9QL,3
Beirut Canteen,SE14 6AS,3
Bejing Chinese Restaurant,SE13 6JZ,3
Bella Napoli,SE4 2RS,AwaitingInspection
Bella Roma,SE13 6BG,AwaitingInspection
Bellingham Fish Bar,SE6 3BT,4
Bellingham Youth  Club,SE4 2JD,5
BELLINGHAM YOUTH CLUB,SE6 3TT,4
Ben & Harry  Limited,BR1 4PW,5
Bengal Brasserie,SE13 6SS,3
Best Kebab,SE14 5BA,AwaitingInspection
Better Coffee Corner,SE6 3BT,4
Big Bang Gourmet Burgers,SE23 1RH,AwaitingInspection
Big Cheeks Thai,,3
Big John's  Biltong Bar,SE8 4AD,5
Big Mammas Pizza and Chicken,SE23 1HH,3
Big Mouth Food Court,SE6 2JT,4
Big Plate Cafe,SE23 1LN,3
Bijou Cafe,SE12 0AA,4
BILL OR BEAK,SE4 2PD,AwaitingInspection
Bird In Hand,SE23 3HN,5
Biryani Bazaar,SE14 6AS,5
Black Horse,SE8 5RE,4
Blackbird Bakery Limited,SE26 5UA,3
Blackheath Desserts/Village Burger & Desserts,SE3 0TA,4
Bleecker Burger,SE14 5RS,5
Blendstar,SE6 1DL,AwaitingInspection
Blue Marlin Fish Bar,SE13 5ND,AwaitingInspection
Blue Tiger Coffee Ltd,SE26 4QP,4
Blythe Hill Tavern,SE23 1JB,AwaitingInspection
Bola Cuisine,SE14 6AG,3
Bona,,AwaitingInspection
Bose Chicken,SE26 4QJ,1
Bottle Bar & Shop,,AwaitingInspection
Boulangerie Jade,SE3 0BD,5
Breadfruit Boulevard,SE8 5HD,AwaitingInspection
Break The Fast  Ltd,SE6 2TS,3
Brickfields,SE4 2SA,AwaitingInspection
Brince Restaurant,SE4 2BT,5
Brixton Cake Shop,SE26 4QP,AwaitingInspection
Broadway Cafe,SE6 4SP,5
Brockley Jack,SE4 2DH,AwaitingInspection
Brockley Social Club,SE4 2SU,AwaitingInspection
Brockley's Rock,SE4 2QZ,AwaitingInspection
Bromley Hill Fish Bar,BR1 4JX,AwaitingInspection
Brookmill Pub,SE8 4EJ,3
Brorritos,SE4 1BE,4
Brother Garden,SE12 9NG,4
Brothers Kebab & Burgers,SE26 4QZ,1
Brothers Kebabs,SE26 4QZ,1
Brown & Green Cafe,,AwaitingInspection
Brown & Green Cafe,SE26 4SS,AwaitingInspection
Brown and Green Cafe,SE23 3PH,4
Browns of Food Business,SE4 2RW,AwaitingInspection
Bubble & Squeak Cafe,SE12 0EF,4
Bubblestop,SE12 8PZ,5
Bucketmouth (Gunduz Kebab Ltd),SE13 5AU,4
Buddha Taste,SE3 0TL,4
Buenos Aires Cafe,SE3 0TL,AwaitingInspection
Burger King,SE13 6JG,5
Burger N  Grill Hub,SE13 6JZ,4
BUSTER MANTIS,SE8 4NT,5
Butch Salads,SE8 5JB,5
BYTE Catering,,AwaitingInspection
Cabana Hot Pizza and Grill Ltd,SE12 0JS,3
Cafe and off site catering,SE6 1RG,AwaitingInspection
Cafe Bianca,SE8 4AA,AwaitingInspection
Cafe Boulangerie,SE14 5PL,4
Cafe Bueno,,AwaitingInspection
Cafe Crofton Park,SE4 2PH,4
Cafe Green Ltd,SE13 6JE,2
CAFE INN,SE13 6AA,3
Cafe Lokum,SE12 0PS,5
Cafe of Good Hope,,AwaitingInspection
