BusinessName,PostCode,RatingValue
% Arabica,WC2E 8HN,4
1 Warwick,W1B 5LR,AwaitingInspection
1/2 Million,W1C 2PA,5
10 Greek Street,W1D 4DH,5
100 Club,W1D 1LL,4
100 Wardour Street,W1F 0TN,5
104 Restaurant,W2 5QS,5
106 Baker Street,,4
117 Alderney Street,SW1V 4HE,5
12 Hay Hill,W1J 8NR,5
123V,W1S 1RJ,5
180 Pizza,WC2R 1EA,5
1905,W1W 7RQ,AwaitingInspection
1989 Clubhouse,WC2H 9QJ,5
1Rebel,WC2B 4AS,4
2 Amici,SW1P 1JU,3
2 Veneti,W1U 2RD,5
20Ft Fried Chicken,W1G 0BD,5
21 Soho,W1D 4NR,4
28-50 Wine Workshop & Kitchen,W1W 8QJ,AwaitingInspection
28-50 Wine Workshop and Kitchen,W1U 2NE,3
3 Henrietta St,WC2E 8PS,5
31 Below,W1U 4PP,4
34,W1K 2HD,5
40 Greek Street,W1D 4EB,5
5 Hertford Street,W1J 7RW,5
50 Kalo,WC2N 5BY,5
55 Frith St,W1D 4SJ,3
76 Dean Street,W1D 3SQ,5
8 Golden Horses,SW1P 2EF,3
A Wong,SW1V 1DE,5
Abasto,W2 2BB,3
Abbey Community Association,SW1P 3BU,4
Abercorn Middle School,W1U 4JA,5
Abercorn Place School,NW8 9XP,5
Abercorn School,W1B 1JQ,5
Aberdeen Steak House,W2 1RH,4
Aberdeen Steak House,W1D 7AE,5
Abokado,SW1H 0AZ,5
About Thyme Restaurant,SW1V 1DL,4
Abu Afif,W2 1EA,4
Abu Maher,W2 4QJ,5
Abuelo,WC2E 7JA,4
Acacus,W1U 6QN,4
Acai Berry,W1B 5PW,4
Acai Do Brazil,W1U 3QR,3
Acorn Nursery,SW1A 2HB,5
Adam & Eve,W2 6AA,5
Adam & Eve,W1T 3QP,5
Adam & Eve,SW1H 9EX,5
Adelphi Theatre,WC2R 0NR,5
Admiral Duncan Public House,W1D 4UD,5
Adrian'S,SW1W 0RN,5
Advent International,SW1E 5LB,5
Ain'T Nothin' But,W1B 5PZ,5
Akash Rest Limited,W2 1EJ,1
Akoko,W1T 3LP,5
Al Arez 2,SW3 1JD,4
Al Arez Cafe,W2 2HX,5
Al Arez Express,W2 2DZ,5
Al Balad,W2 2ER,5
Al Balad,W2 2EH,5
Al Basha Restaurant,SW1X 7JN,5
Al Bustan Restaurant,W2 2JE,AwaitingInspection
Al Duca Restaurant,SW1Y 6LA,5
Al Hamra & Blue Garden Restaurant,WC2N 5RN,5
Al Hamra Restaurant,W1J 7PT,5
Al Kababgi Mezze & Grill,W2 3RR,4
Al Mansoori Grocery And Restaurant,W2 1DW,1
Al Maskoof,W2 2BP,5
Aldana's Table,W2 2UH,AwaitingInspection
Al-Dar Restaurant,W2 2HZ,4
Al-Dhiyafa Restaurant,W2 1DW,5
Aldwych Theatre,WC2B 4DF,5
Alfred Dunhill Spa,W1K 3DJ,5
Alfred Tennyson,SW1X 8LA,5
Alhamra Gardens Restaurant,W1U 7DJ,2
Ali Baba Kebab,W9 3EF,5
Ali Baba Restaurant,NW1 6DA,5
Ali'S Cafe Ltd,W9 3NW,4
Al-Khalil supermarket no1 Ltd,W9 2HP,AwaitingInspection
All Bar One,WC2E 9EN,5
All Bar One,W1U 1BH,5
All Bar One,WC2N 6NQ,5
All Bar One,SW1E 6QW,5
All Bar One,WC2H 7LT,5
All Bar One,W1B 2HJ,5
All Souls Primary School,W1W 7JJ,5
Alliance In Partnership,W2 1QB,5
Allsop Arms Public House,NW1 5AL,5
Almost Firangi Cafe,W2 5QL,3
Almost Saturday,W1W 6DX,5
Al-Nakhil Restaurant Limited,W2 2EA,0
Aloo Tama,SW1P 1PG,2
Alounak,W2 5SH,5
Alto By San Carlo,W1A 1AB,5
Alumni Visitors Lounge & College Caf?,SW7 2AS,5
Alwaha,W2 4UL,4
Amalfi Restaurant,W1F 7TU,5
Amaya,SW1X 8JT,5
Amazonica Restaurant,W1J 6AA,4
Amberly Youth Club,W9 2JZ,4
Amelia,WC2E 9HE,4
Americana,SW1Y 4BP,5
Amethyst,W1S 3DD,5
Amici,W1F 8ZB,4
Amigos Burgers And Shakes,W9 3QF,5
Amjadia Indian Restaurant,W1U 1BW,3
Ammos Hyde Park,W2 2TH,5
Amorino,W2 2DZ,5
Amorino,W2 4QJ,5
Amorino,W1D 6HF,4
Amorino,WC2E 9JL,5
Amorino,WC2E 9AR,5
Amorino Gelato,WC2H 0DT,5
Amorino Villiers St,WC2N 6ND,AwaitingInspection
Amt Coffee,NW1 6JJ,5
Anaam,W2 2HR,AwaitingInspection
Andalucia,SW1Y 4DL,5
Andrew Edmunds,W1F 0LP,5
Angies Ii Free House,W9 2BJ,5
Angry Crab Shack,W1D 6DF,4
Angus Steak House,W1D 2LU,5
Angus Steak House,WC2H 7AA,5
Angus Steak House,W1C 2AJ,5
Annabel'S,W1J 5AT,5
Antidote,W1F 7RR,5
Antika Restaurant,W9 1LU,5
Aok Kitchen,W1U 7NH,5
Apax Partners Worldwide Llp,SW1Y 6DN,5
Aphrodite Greek Taverna,W2 4AB,5
Apna Adda,WC2H 7LE,3
Apollo Theatre,W1D 7EZ,5
Apollo Victoria Theatre,SW1V 1LG,5
Apoy Oxford Street,W1G 0BD,5
Apricity,W1K 6JU,5
Aqua,W1F 7EB,4
Aquavit London,SW1Y 4QQ,5
Aramark @ Selfridges,W1A 1AB,5
Aramark Limited,W1W 7BY,5
Aramark Limited,W1H 5UL,4
Aramark Limited,SW1V 4LD,4
Arang Restaurant,W1F 9HZ,3
Arc Le Salon,W1J 5HD,5
Archetype Coffee,W1W 7DY,5
Archipelago,W1T 4JJ,5
Argyll Arms Public House,W1F 7TP,4
Aries,W1F 9NN,3
Arirang Restaurant,W1F 8QT,2
Ariston Hellenic Eatery,W2 5RA,4
Arket Cafe,W1B 3BR,5
Arket Cafe,WC2E 9LA,5
Army & Navy Club Limted,SW1Y 5JN,5
Arome Bakery,WC2H 9QJ,3
Arous Dimashiq Limtied,W2 1BS,4
Arro Coffee,W1J 7UQ,5
Arro Coffee,W1U 6NJ,5
Arro Coffee,W2 6BG,5
Arros Qd,W1W 8NQ,5
Artist Residence,SW1V 4QQ,5
Ask Italian,W1K 7JA,5
Ask Italian,W2 1JA,5
Aspinalls Club,W1J 7TJ,5
Assa Korean Restaurant,W1D 5AQ,3
Assaggi Restaurant,W2 4TS,4
Association Of Anaesthetists,W1B 1PY,5
Astors Hotel,SW1W 9QU,4
Astral Cafe,SW1P 2EB,4
Atalian Servest Food Company,SW1P 3JR,5
Atcha West End,W1K 6DE,4
Atelier Coupette,W1D 5ND,AwaitingInspection
Atis Eccleston Yards,SW1W 9NF,5
Atkins,SW1E 5BY,5
Attendant Coffee Roasters,W1K 5NR,5
Aubaine,W2 4RJ,5
Aubaine,W1U 4EP,5
Aubaine,W1S 4ND,4
Aubaine @ Selfridges,W1A 1AB,5
Audrey Green,WC2H 0HE,5
Augustus Harris,WC2B 5JT,5
Aulis,W1F 0BG,5
Auntie Annes,W1D 6BS,4
Autograph,SW1P 2AA,5
Autograph At The Foreign & Commonwealth Office,SW1A 2FA,4
Ave Mario,WC2E 8QG,4
Avobar,WC2E 8ND,3
Ayllu,W2 6EY,4
Azan Enterprises,NW8 7AH,3
Azmar Restaurant,W2 1EG,3
B Bagel Bakery Bar,W1D 4JF,5
B_Together,NW8 7NJ,5
Baaria,WC2H 0BD,5
Bab N Suul,W1D 5PA,5
Babouch,W1B 1QB,5
Bacchanalia,W1K 3NB,5
Back On Track Coffee,W1G 9SF,2
Badiani,WC2H 9FA,5
Badiani Gelato,W1K 6ZA,5
Bafarat Cafe,W1B 5LU,5
Bafta,W1J 9LN,5
Bafta Piccadilly,W1J 9LN,5
Bag O Nails,SW1W 0PP,4
Bagel Factory,W2 1RH,5
Bagel Factory,WC2E 9NG,AwaitingInspection
Bagel Factory,W1D 2LR,4
Bagel Factory,NW1 6JJ,5
Bagelicious,SW1P 2HY,1
Bageriet,WC2E 9EA,4
Bake,W1D 6PF,4
Baker Street Food Station,NW1 5LF,5
Baku Bistro,W1J 8QL,5
Balakona Restaurant,W1S 1AD,5
Balans Caf?,W1D 4TR,4
Balans Restaurant,W1D 4UG,4
Bales College,W10 4AA,3
Balthazar,WC2B 5HZ,5
Banana Tree,W9 1PG,5
Banana Tree also t/a Mimi's & What's Your Katsu,WC2E 7BD,5
Banana Tree Canteen / Whats Your Katsu,W2 4UA,5
Banana Tree Restaurant / Whats Your Katsu,W1F 0UN,5
Bancone,WC2N 4DD,4
Bancone Golden Square,W1F 9EL,5
Banh Mi Bay,W1T 1NF,2
Banh Mi Town,W1W 6TS,3
Bannatyne Health Club,SW1P 3JA,5
Bantof,W1D 7LP,4
Bao,W1F 9AS,5
Bao James St,W1U 1HF,AwaitingInspection
Baoziinn,SW1E 5NE,5
Baozilnn,W1D 5AH,2
Bar Bruno,W1F 0UG,5
Bar Crispin,W1B 5PY,3
Bar Des Pres,W1S 4HW,5
Bar Italia,W1D 4RP,5
Bar Remo,W1B 2LB,5
Bar Rumba,W1D 7ER,4
Bar Shu,W1D 5LF,5
Bar Soho,W1D 5JL,5
Bar Termini,W1D 5JE,5
Bar Torelli,W2 3SA,2
Baraka Piri Piri,W2 1BS,5
Barburrito,W2 1RL,4
Barclays,W1K 1PN,2
Bardo St James'S,SW1Y 4HX,5
Barley Mow,W1K 6JF,4
Barley Mow Public House,SW1P 2EE,5
BARNABY BARS,WC2H 9EA,AwaitingInspection
Barrafina,WC2N 4HZ,5
Barrafina,W1D 3LL,5
Barrafina,WC2B 5RT,5
Barrcuda Casino,W1U 8ED,5
Barrio Central,W1F 8PS,5
Barrow Hill Junior School,NW8 7AL,5
Barrys Boot Camp,W2 3RR,5
Barry'S Bootcamp,SW1W 9AZ,5
Bartlett Mitchell,W1J 8LL,5
Bartlett Mitchell Ltd,SW7 2QT,5
Basilico Ltd,W1H 1JX,5
Baskin Robbins,NW1 5RT,5
Bateel International Uk Limited,W1A 1AB,5
Baxter Storey Limited,SW1P 2TX,5
Baxter Storey Limited,NW8 0NP,5
Baxter Storey Limited,W1H 6LT,5
Baxter Storey Limited,WC2R 0QU,5
Baxter Storey Limited,W1B 1DJ,5
Baxter Storey Limited,W2 6PR,5
Baxter Storey Limited,SW1X 7LX,5
Baxter Storey Limited,SW1Y 4UH,5
Baxter Storey Limited,SW1E 6SQ,5
Bayswater Arms,W2 4QH,5
Bbc Club,W1W 7NY,5
Be At One,W1F 9RA,5
Be At One,WC2E 7DA,5
Be At One,W1G 0EH,5
Be At One Greek Street,W1D 4DR,5
Be My Wine Ltd,W2 5QH,5
Be@One,WC2B 5HF,5
Bear & Staff Public House,WC2H 7AX,5
Beast and Field,W1K 6ZA,2
Beast Restaurant,W1G 0BG,5
Beasy,W1D 3DY,4
BeBeMe,W1K 6ZA,5
Beefsteak Club,WC2H 7AH,5
Beer House,SW1V 1JT,5
Beijing Dumpling,WC2H 7BA,5
Beit El Zaytoun - On The Go,SW1X 7QL,AwaitingInspection
Beiteddine Express,W1J 8AG,5
Bekhal Company Ltd,NW8 8PS,2
BEKIRI,W1K 6ZA,AwaitingInspection
Belgrave Restaurant,NW8 0QY,5
Bella Italia,WC2H 7AJ,5
Bella Italia,WC2H 7AT,5
Bella Italia,WC2E 7BD,5
Bella Italia,WC2E 9AX,5
Bella Italia,W2 1HL,4
Bella Italia,,5
Bella Italia,WC2N 5LR,5
Bella Italia Queensway 55 also t/a Mac Shack & Super Nonna,W2 4QH,5
Bella Italia Shaftesbury Av also t/a Super Nonna,W1D 6LQ,5
Bellamy'S Restaurant And Delicatessen,W1J 6LY,5
Below Stone Nest,W1D 5EZ,3
Ben And Jerrys,W1F 0TE,5
Ben Venuti,SW1V 1SH,4
Benares Restaurant & Bar,W1J 6EB,5
Bengal Restaurant,W2 6ET,3
Bennett Hay Ltd,SW1E 5JL,5
Bennett Hay Ltd,W1G 0AY,5
Bens Cookies,WC2E 8HD,5
Bens Cookies,W1C 2JQ,5
Bens Cookies,W1D 2JB,5
Bentley'S Oyster Bar & Grill,W1B 4DG,5
Benugo,W2 3XA,5
Benugo Limited,W1J 5HN,4
Benugo Limited,W1U 1DL,5
Benugo Limited,NW1 4NR,5
Benugo Limited,NW1 4RL,5
Benugo Limited,SW1H 9EX,5
Benugo Limited,SW1X 7EN,5
Benugo Limited,WC2N 6NN,5
Benugo Limited,WC2E 7BB,5
Benugo Limited,W1C 1DX,5
Benugo Limited,WC2N 4ES,5
Benugo Limited,NW1 4RY,5
Benugo Limited,W1K 6AF,4
Benugo Limited,W2 2AR,5
Benugo Limited,NW1 4NU,AwaitingInspection
Benugo@Van Gogh Alive,SW7 2AP,4
Benvenuti,SW1V 1SW,5
Berenjak,W1D 5AL,5
Bessborough Day Nursery,SW1V 2JD,5
Bibi,W1K 6ZR,5
Bibimbap Restaurant,W1D 4DJ,1
BIBI'S,W1F 9JG,AwaitingInspection
Bibi'S,W1D 7DW,4
BiBi's Kitchen,WC2E 9EA,5
Big Bite,W1D 6QU,3
Big Mama'S Kitchen,W10 4NJ,5
Big Pizza,W9 2AB,1
Biju Bubble Tea Room,W1D 6HQ,5
Bike-Drop,SW1Y 4SE,5
Bike-Drop,W1S 2YZ,5
Bills Restaurant,W1U 6RY,5
Bill'S Soho Restaurant,W1F 9TB,5
Bill'S Victoria Restaurant,SW1E 5JE,5
Billy'S Cafe,W9 2EW,0
Bilmonte,W1D 7LW,3
Biryani Guys,NW1 5BY,5
Biscuiteers Belgravia,SW1W 9AZ,5
Bishops Cut Price,W2 6BG,5
Bistro 1,W1D 5LE,4
Bistrot Bagatelle,W1S 4NG,5
Bizzarro Restaurant,W2 3PX,5
BKC,W2 2ER,2
BKC Soho,W1D 5ND,AwaitingInspection
Black Bear Burger,SW1E 5NE,4
Black Book,W1D 4RR,4
Black Horse,W1T 1HL,5
Black Sheep Coffee,SW1W 9RB,5
Black Sheep Coffee,SW1E 5NE,5
Black Sheep Coffee,WC2R 0QE,5
Black Sheep Coffee,NW1 5LA,5
Black Sheep Coffee,W1W 5PW,5
Black Sheep Coffee,W2 6BD,5
Blackett Caf?,SW7 2AZ,5
Blacklock,WC2E 9HE,5
Blacklock Soho,W1D 7LG,3
Black'S Club,W1D 4QH,4
Blanche Eatery,SW1P 2HY,5
Blanchette,W1F 8DR,5
Blandford Comptoir,W1U 3DA,1
Blank Street,W1H 7AF,5
Blank Street,W2 1RL,AwaitingInspection
Blank Street,W1F 8GS,5
Blank Street,WC2N 5LR,5
Bleecker Victoria,SW1E 5NE,5
Block Soho,W1F 0AZ,5
