BusinessName,PostCode,RatingValue
201 Asian Kitchen,SW19 1EE,5
25 Charminster Avenue,,AwaitingInspection
601 Queens Road,SW19 8ND,5
92GRILL,,5
Abbys Grill Peri Peri,CR4 3NH,5
Abundance Cafe,SW19 1LA,5
Achieve Together,SM4 6SG,5
Aconcagua Kitchen,,AwaitingInspection
Adcheya Restaurant,SW19 1AZ,3
AFIA Cuisine,CR4 2PE,4
Agemono,,AwaitingInspection
Ahmed's,SW19 1EH,AwaitingInspection
AK Kitchen,CR4 3HA,4
Al Forno Restaurant,SW19 8QN,5
All Bar One,SW19 7NA,5
Amal Lebanese Mezze,SW19 2AB,5
Ambience & Meze World,SW19 7BD,5
Amna's Home Bakes,,5
Anas Cafe,SW19 8UG,5
Arias Cakes,,5
Arthurs,SW19 8AQ,5
Assisted by Nature,SW19 2RD,5
At the Corner Cafe by Instagrab Pretzel,SM4 5HT,5
Aya,SW19 1RQ,5
Aya 2,SW19 1DN,5
Aya Lebanese Restaurant,SW19 1EE,5
AZ Kitchen Ltd,,5
Babylon,SW20 0AX,5
Baked by Mi,,5
Baked By Zoe,,5
Ban Yai,SW19 2RD,5
Bangers and Baps,SM4 4LZ,5
Bar & Block Steak House Wimbledon,SW19 1NE,5
Beiroot,,5
Belgian Brasserie,SW19 2RD,5
Bella & Bean Cake Design,,5
Bella Donna,SM4 5HP,5
BEYROOTS Garage to the rear of,,5
BFC Fried Chicken & Kebabs,SW19 2NX,3
Bib's Esfihas,CR4 2AF,5
Bigs Foods,SW19 8UL,3
Bills Produce Store,SW19 3TA,5
BINDAS EATERY,SW19 2RL,5
Biryani Village,,AwaitingInspection
Bistro Przy Rondzie,CR4 3LD,5
Black Radish,SW19 4QW,5
Bliss Childcare and Nursery school,SW19 8EE,5
Bliss Coffee and Preserve General Store,SW19 1SB,4
Bliss in the Park,SW19 8PN,5
Blossom  and Brew,KT3 6NB,5
Blue Balloon Bakery,,4
Blue Diamond Lower Morden Garden Centre,SM4 4SJ,3
Blue Junction,SM4 5DA,5
bnjflovrizsiand,,AwaitingInspection
Bodean's BBQ Earlsfield,SW19 8UG,5
Bombay Delight Ltd,SW19 1SD,5
Bombay Spice,SW17 9HP,AwaitingInspection
Bonjour Brioche,SW19 1EX,5
Bonnie Bakes,,5
Boom Boom Foods,,5
Breakfast and after school club at The Sherwood School,CR4 1JP,AwaitingInspection
Breakfast Station,SW17 9HW,4
Britannia Cafe,SW19 2RL,5
Broad Street Kitchen,,5
Bruk Kitchen,,5
Bubboo Oriental Grocery,SW19 4DP,AwaitingInspection
Buenos Aires Restaurant,SW19 7PA,5
Burak Kebab House,CR4 2AJ,5
Burger King,SW19 2PP,5
Buteco do Duda,SW19 2RD,AwaitingInspection
By The Horns Plough Lane,SW17 0BL,5
Cafe 110,SW19 1AW,5
Cafe du Parc,SW19 8AA,5
Cafe La Lavella,SM4 5HT,3
Cafe Mori,SW19 1RQ,5
Cafe Rich Point,KT3 6JF,4
Cafe Royale,SM4 4PD,5
Cafe SW19,SW19 1EQ,5
Caffe Nero,SW19 4DP,5
Caffe Nero,SW19 5EE,5
Caffe Nero,SW19 1RF,2
Caffe Nero,SW19 2TY,5
Cake for Breakfast SW20,,5
Cakeology,,5
Cakes by Elizabeth Josephine,,5
Cakes By Sanu,,AwaitingInspection
Campos Empanadas,,AwaitingInspection
Candy Rocks,,5
Canedo,SW19 2JE,5
Canons Cafe,CR4 4HD,4
Careca Hotdog,,5
Carluccio's,SW19 5DX,5
Carmona Steak and Tapas,SW19 5EG,1
Cart on the Common,SW19 5NR,5
Casa Argentina,SW19 8AQ,5
Casa Paella,,AwaitingInspection
Casuarina Tree,CR4 4BG,5
Caterlink Melbury College,SW20 9NS,5
Cedar Restaurant,SW19 1BA,4
Cent Anni,SW19 5BY,3
Central Ward Residents Club,SM4 4ED,5
Ceylin's,CR4 1RB,AwaitingInspection
Ceylon Express,SW17 9HP,5
Chak 89,CR4 3HG,5
Challens,,5
Chandni Chaat House,SW17 9JR,5
Chango,SW19 5DX,1
Chase Kebab,SW20 8LR,5
Cheeky Chimps Stay and Play,SM4 6BF,AwaitingInspection
Chi-Bap,SW19 2RL,AwaitingInspection
Chick N Beer,KT3 4NL,4
Chicken and Grill Ltd,CR4 2PF,3
Chicken Buzz,SW17 9JQ,5
Chicken Express,SW16 5HX,5
Chicken Sky,CR4 2AJ,5
Chicken Village,CR4 3LD,3
Chicken World,CR4 1RB,3
Chicken World,CR4 4BE,4
Chicken World Peri Peri & Kebab,SW19 8LA,4
Chick'n'Chaii,SW19 8EE,5
Chikz Patisserie Limited,,5
China World,KT3 6NB,5
Club House,SW19 4UW,4
Coco & Ice Cream,,5
Coco and Nut Wimbledon,SW17 0BL,AwaitingInspection
Cocobeanz,SW18 2NX,5
Coffee 27,SW17 9JR,5
Coffee 4 U,,5
Coffee in the Wood,SW19 2JF,5
Colette,SW19 5EG,5
Colliers Wood Tandoori,SW19 2JE,5
Colombo Restaurant,CR4 2JB,1
Commonside Community Cafe,CR4 1LT,5
Corleone Restaurant,SW19 2BN,5
Costa  (NEXT),SW20 0JH,5
