BusinessName,PostCode,RatingValue
1966,UB8 3PH,5
1976 Cod,UB8 2LX,5
A Taste of Village,UB4 0RU,2
Abshar Banqueting & Events,UB10 0RY,3
Achari,UB7 0HU,2
Aer Lingus Gold Circle Lounge,TW6 1EW,5
Air Canada Maple Leaf Lounge Terminal 2B,TW6 1EW,4
Airport Bowl,UB3 5AL,5
Aladdins,UB3 4DF,5
Alforno Caffe,HA4 8LS,5
Al-Hyderabadi Biryani & Grills Ltd,UB3 1AY,2
Al-Hyderabadi Mandi Biryani,UB4 0RJ,0
Ali Baba Lounge,UB4 8JZ,1
Alma Lusa Ltd,UB7 7QL,1
Amadeus The Hub,TW6 2FL,AwaitingInspection
American Airlines,TW6 1QG,5
American Airlines Arrivals Lounge,TW6 1QG,5
American Express Centurion Lounge,TW6 1QG,5
Amigo North (Staff Restuarant),TW6 2GA,5
Amigos,HA6 1PA,5
Amore Dessert Cafe,HA5 1QG,3
Amore Pizza,UB4 8SE,4
Anikas Indian Takeaway,UB10 9NA,3
Apna Dera,UB4 0RR,1
Aquarius Fish & Chips,HA4 0AL,5
Aquarius Fish & Chips,UB4 8BX,4
Arcadia - Open 1st Mar 23 (Sundays),UB9 6DU,AwaitingInspection
Arens Bar & Grill at the Six Bells,HA4 7TP,5
Armstrong World Industries Ltd,UB8 1NG,5
AROMA,UB4 0ES,5
Aroma House,HA4 6LR,4
Asda Coffee Shop,HA4 0FY,5
Asda Restaurant,UB3 4AZ,5
Atik,UB8 1LE,4
Auntie Anne's Pretzel Perfect,UB8 1GA,5
B E C Club,HA4 8NN,5
B J Sandwich Bar,UB7 0DE,2
Baby Boutique,UB8 3NN,5
Bagel Boyz,UB8 3SH,5
Bam Bam,UB10 0LG,5
Bar Italia,UB8 1JT,1
Bar@Stockley,UB11 1AQ,5
Barfia,HA6 1NU,4
Barnhill Community Centre,UB4 9HG,3
Bartlett Mitchell ltd,UB11 1ET,5
Baskin Robbins,HA6 3AE,5
Battle of Britain Visitor Centre Cafe,UB10 0GG,5
Baxterstorey,UB8 1PD,5
Bean There Drank That Cafe,UB7 9DY,5
Beef Belly,UB10 0LJ,3
Beefeater,UB3 4AZ,5
Bella Italia,UB8 1LB,3
Bella Roma Pizzeria,HA5 2EN,AwaitingInspection
Belmont Cafe,UB8 1QS,5
Bennett Hay Ltd,UB8 1LU,5
Bento Boys,UB8 1AB,4
Best Food,UB7 7LR,AwaitingInspection
Best Kebab,UB10 9PG,5
Betesseb,UB4 0SA,1
Betty's Cafe,UB10 9LS,4
Bevan's Cafe & Shop,UB8 3NN,4
Beverage Boutique,HA4 7BD,5
Big Boy Pizza,UB4 0SE,5
Big Smoke Taphouse & Kitchen (Airside),TW6 1EW,5
Bill The Baker,UB8 1JZ,5
Bina Tandoori,HA6 1BJ,5
Biryani Shack Ltd,UB4 9AX,3
Biryanimax Hayes,UB3 2HW,AwaitingInspection
Bistrove,UB10 8TB,5
Bite,UB8 3PH,5
Black Sheep Coffee,TW6 2QF,5
Black Soda,HA6 2XN,1
Blue Ginger,UB8 2EN,4
Blue Saffron,UB10 8PB,1
Blues Bar,UB7 7BT,4
Bombay Chow Brasserie,HA6 1HN,4
Bon Cafe,UB3 4BX,5
Boulangerie Maison De Soleil,UB10 8DF,1
Breakspear Arms,UB9 6LT,3
Brew T Way,HA6 1BP,AwaitingInspection
Bright Star,UB4 0JH,5
British Airways - First Class Concorde Lounge,TW6 2GA,5
British Airways Eastern Operations Staff Restaurant,TW6 2GT,5
British Airways First Class and Club Lounge,TW6 1QG,5
British Airways Galleries Arrivals Lounge Landside,TW6 2GA,5
British Airways Galleries Lounge North,TW6 2GA,5
British Airways Galleries Lounge T5B,TW6 2GA,5
British Airways South Galleries Lounge,TW6 2GA,5
British Airways Southern Operations Staff Restaurant,TW6 2GT,5
British Airways Staff Restaurant,UB7 0GA,5
Brook House Football Club,UB4 8BZ,4
Brothers 2 Restaurant,UB3 2HR,1
Browns Ruislip,HA4 7TJ,5
Bubble & Go,UB8 1LG,5
Bubble Ci.Tea,UB8 1GA,4
Bubbles,HA6 3AE,5
Bucket List Coffee,HA5 1QZ,5
Bucks Student's Union - Pulse,UB8 1NA,5
Burger Daddy,UB8 2RT,5
Burger King,HA4 8JN,5
Burger King,UB8 1LN,5
Burger King,UB4 9SN,5
Burger Maxx and Crawley Grill Ltd,UB8 2EB,5
Burgerbey,UB10 8DG,5
Burgers Wings And Tings,UB4 8JF,1
Butties,UB7 7LT,3
Cafe Bar,TW6 2GB,4
Cafe Casa Mia,HA6 2QB,0
Cafe Chi,TW6 2SF,5
Cafe delight,UB10 0LJ,3
Cafe Estrela Do Norte,UB4 8BX,5
Cafe Hills,HA6 1LW,4
Cafe on the Green,UB3 5AQ,2
Cafe Restaurant Estoril,HA6 1PF,4
Cafe Rouge Ruislip,HA4 7AW,5
Cafe Vaknat,UB3 4BG,4
Caffe Kix Ltd,HA4 6QE,5
Caffe Nero,UB8 1LA,5
Caffe Nero,TW6 3XA,5
Caffe Nero,TW6 1QG,5
Caffe Nero,HA4 8LS,5
Caffe Nero,TW6 2GA,5
Caffe Nero,TW6 1EW,4
Caffe Nero,TW6 2GA,2
Caffe Nero,TW6 2GA,4
Caffe Nero Kiosk - small unit Landside,TW6 1EW,4
Caffe Nero Main Unit Arrivals Level,TW6 1EW,2
Cake Villa,HA5 1RJ,5
Canon Europe (Sodexo),UB11 1AF,4
Captain Morgans,UB3 1AX,4
Captain Morgans,HA5 1RD,5
Caretta Caretta,UB8 1JX,5
Carluccios,TW6 3XE,5
Carluccio's,UB3 5AN,5
Carpenters Arms,UB4 8JJ,5
Caterlink @ Centre for the Creative Industries,UB3 3BB,AwaitingInspection
Cathay Pacific,TW6 1QG,5
Caviar House & Prunier (UK) Ltd,TW6 2GA,4
Caviar House & Prunier (UK) Ltd,TW6 3XA,5
Caviar House & Prunier (UK) Ltd Terminal 2A (airside),TW6 1EW,5
Caviar House & Prunier Seafood Bar and Oyster Bar and shop,TW6 1QG,5
Caviar House Seafood Bar,TW6 1EW,5
Centre Of Hope,UB10 9PG,5
Cha Cha Chai,HA6 1PA,AwaitingInspection
Chaii Pot,UB8 1LA,4
Chaii Room,HA5 1QZ,4
Champers,HA5 1RF,5
Charcoal Grill,HA5 1RF,5
Charville Social Club,UB4 8LF,5
Cheat Meals,UB3 4DD,5
Chez Melissa,UB8 1JN,3
Chicken Cottage,UB7 7DR,AwaitingInspection
Chicken Cottage,UB3 4BD,4
Chicken Cottage,UB10 0NY,4
Chicken Land,HA4 6SD,5
Chicken Land,HA6 1NU,5
Chicken Plus,HA5 2EN,4
Chilli Indian Takeaway,UB8 2AE,1
China Chef,UB4 8BZ,4
China Express,UB8 2LT,3
China garden,HA4 8HR,3
China Nite,UB10 9DA,2
Chixy's Grill,UB3 1AX,4
Christ Church Cafe,UB8 1SZ,5
Chummy Yummy Chinese Restaurant,UB10 0LX,1
Churchills,UB10 0AD,5
Chutneys Indian Takeaway,UB8 2LX,5
Cinnamon Tree,UB7 8AG,3
Cintias Cafe Bar,UB7 0AE,5
Club Aspire Lounge T5,TW6 2GA,5
Coach & Horses,UB10 8LJ,5
Coca Cola Canteen,UB8 1EZ,5
Codfather Fish and Chips,UB7 9AE,3
Coffee Shop,HA6 2RN,5
Cofix,HA6 2XS,4
Colombo Tasty,UB4 0RY,2
Colombo Tasty Express,UB4 0RY,0
Comforts Fund Radiotherapy Tea Bar,HA6 2RN,5
Compass Centre Staff Restaurant,TW6 2GW,5
Compass Theatre,UB10 8PD,5
Co-Pilots Bar & Kitchen,TW6 3XA,AwaitingInspection
Costa,UB8 1GA,5
Costa,UB8 1GA,5
Costa Coffee,HA4 0HG,5
Costa Coffee,UB8 1JZ,5
Costa Coffee,TW6 3XA,5
Costa Coffee,UB3 4DA,5
Costa Coffee,UB8 1JP,5
Costa Coffee,TW6 1QG,5
Costa Coffee,UB10 8DB,5
Costa Coffee,HA4 0AH,5
Costa Coffee,HA4 8LS,5
Costa Coffee,UB7 7BB,5
Costa Coffee,HA4 0HG,5
Costa Coffee,UB7 7QG,5
Costa Coffee,HA5 1QL,4
Costa Coffee,UB10 0LR,5
Costa Coffee,HA6 1PF,5
Costa Coffee,HA6 2QF,4
Costa Coffee,TW6 3EX,5
Costa Coffee,TW6 1AP,5
Costa Coffee,UB7 7FP,5
Costa Coffee,UB3 3EX,5
Costa Coffee,UB11 1AA,4
Costa Coffee,UB3 3EX,5
Costa Coffee,UB3 3EX,5
Costa Coffee (LANDSIDE),TW6 2GA,4
Costa Verde,HA4 9AB,5
Cosy Coffee,HA4 8LS,5
Cottesmore House,UB10 8FT,5
Cowley Fish Bar,UB8 2HL,5
Cowley Inn,UB8 2EN,4
Creams Cafe,UB8 1QT,5
Crown & Treaty,UB8 1LU,5
Crown Rivers,TW6 2GA,5
Curry Corner,UB7 8EX,5
Curry Cottage,HA4 7DW,3
Curry Delight,UB3 4JA,5
d20 Board Game Cafe,UB8 1AB,5
Danielles Kitchen,HA4 0NU,5
Danielles Kitchen,HA4 0JP,4
Darcys Cafe,UB10 9HP,3
Darjeeling Tandoori,UB10 8LH,3
David Lloyd Northwood,HA6 2DR,5
Dawat,UB4 0RJ,4
Dawley Chicken,UB4 0JH,3
Dawley Chicken,UB3 1EA,3
De Burgh Arms Hotel,UB7 7DQ,4
Deccan Bawarchi & Caterers,UB7 7BY,4
Deep Sea,HA5 2EN,5
Delights Cafe & Restaurant,UB3 3EB,4
Desi Flavours london ltd,UB4 8BX,3
Desi Tadka,UB4 0JH,2
Desire Desserts,UB10 9DA,AwaitingInspection
Dhamaka,UB10 8DG,5
Diageo World Duty Free Bar,TW6 2GA,5
Dilliwale,UB8 2RT,5
Doaba Kitchen,UB3 3EB,2
Dogs Trust Rehoming Centre,UB9 6JW,4
Dolphin Fish Bar,UB9 6PE,AwaitingInspection
Domino's Pizza,UB7 7LT,5
Domino's Pizza,UB10 8LH,5
Domino's Pizza,HA4 0AH,5
Domino's Pizza,UB10 0PE,5
Domino's Pizza,HA6 1NZ,5
Door 2 Door Pizza Hayes,UB4 0RZ,3
Dragon Rickshaw,UB8 2TZ,3
Drayton Tandoori,UB7 7BY,AwaitingInspection
Dreams Pizza and Kebab,UB10 0NS,2
Dutch Fries Shack,UB8 1LA,5
Dynasty Takeaway,UB10 0LG,2
Eastcote Cafe,HA5 1QZ,3
Eastcote Cricket Club,HA5 2EG,5
Eastcote Hockey and Badminton Club,HA4 1JZ,5
Eastcote Kebabs,HA4 0QP,5
Eastcote Royal British Legion,HA4 9SQ,5
Eat Well Chinese Takeaway,HA5 1RF,4
Eelathu Suvai,UB4 0RY,4
EL AL Israel Airlines Lounge,TW6 3FB,5
EL&N London,TW6 1QG,5
Elior UK Plc - Hasbro,UB11 1ET,5
Emilia Coffee and Grill,UB3 2AA,4
Emirates Lounge,TW6 1QG,4
Emirates Lounge,TW6 1QG,5
Emmanuel Cafe,HA6 1AS,5
Eurest Staff Restaurant,TW6 3XA,5
Eurest Staff Restaurant,TW6 1QG,5
Eurest Staff Restaurant (including Costa Coffee and Starbucks),TW6 2GA,2
Eurest taxi stop cafe,TW6 2DT,5
Euro Kebab,UB3 3EA,5
Exln Cafe,UB4 8BZ,5
Falooda Wala,UB3 1AZ,1
Farm Cafe,UB7 0EF,5
Farmhouse Pizza,HA4 9EA,4
Fassnidge Memorial Trust,UB8 1GW,AwaitingInspection
Favorite Chicken & Ribs,UB7 9DP,4
Fish & Spice,UB3 1PS,3
Fish n Chips,UB8 1LB,5
Fishermans Net,UB9 6BX,5
Five Guys,UB8 1JZ,5
Flame Grill and Dessert,UB10 0NQ,3
Flip Burgers / A Burger Joint,HA5 1QG,AwaitingInspection
Flying Egg Cafe,UB3 5DU,2
Food Corner,UB7 7DS,1
Fortnum & Masons Restaurant (Airside),TW6 1QG,5
Francesca Cakes & Coffee,HA4 9NJ,5
Fran's Tea Garden,UB10 8AQ,1
Freshbites Pizza,UB7 7BY,4
Friends Food Corner Ltd,UB4 0RY,AwaitingInspection
Funom Kitchen Catering,UB7 7QL,5
Garden Cafe,HA5 2FE,3
Gardeners Arms,UB8 1NW,3
Garlic,UB7 7JZ,5
Gather & Gather IMG Canteen,UB11 1FE,4
GB Kebab & Pizza,HA4 6LS,4
General Elliott,UB8 2UR,3
Geo Bar,HA5 1QL,5
George & Dragon,UB7 7BE,5
George Harvester,HA4 7TJ,4
German Doner Kebab,UB8 1EB,5
German Doner Kebab (GDK),HA4 8LL,5
Gilead Sciences,UB11 1AZ,5
Giraffe,TW6 2GA,5
Giraffe Stop,TW6 1QG,5
Go Sing Chinese Restaurant,UB7 7BY,5
Goals Soccer Centre,UB4 0LP,3
Golden Grill,UB7 7BD,5
Good Cod,UB3 4NS,3
Good Luck,UB3 3HS,5
Gooey Waffle,UB8 1QS,5
Gordon Ramsay Plane Food,TW6 2GA,5
Granero Lounge,HA4 8JB,5
Granny's Cafe,UB8 1LG,4
Grants Atlanta Fish Bar,UB4 8HY,5
Grants Fish Bar,UB8 3JD,1
Grapes Tandoori Restaurant,UB4 0SA,5
Grassy Meadow Court,UB3 2UF,5
Green Planet Pizza,UB7 9AE,5
Grill Cartel Ltd,UB8 2RT,5
Grub and Chip,UB10 8DF,5
GT Road,UB4 9AX,1
Gulf Air Falcon Lounge,TW6 3XA,5
Gurkha's Pride,HA4 8LJ,5
Haji Baba Mangal,UB4 8JG,4
HALO play cafe,UB8 1GB,5
Harefield Community Accociation,UB9 6AP,5
Harefield Cricket Club,UB9 6NE,3
Harefield Hospital Bowling Club,UB9 6LD,Exempt
Harefield Hospital Private Kitchen,UB9 6JH,5
Harefield Kebab,UB9 6BJ,1
Harefield United Football Club,UB9 6NE,5
Harris & Hoole,UB8 1JN,3
Hattons Fish Shop,UB4 0RU,3
Hawks BMX Club,UB3 1EJ,5
Hayes & Harlington Community Associa,UB3 4HR,5
Hayes & Harlington Conservative Asso,UB3 2LE,4
Hayes Bowls Club,UB3 2FB,Exempt
Hayes Cricket Club (Bar),UB3 2RJ,4
Hayes End Chicken,UB4 8JG,4
Hayes Kebab Burger & Chicken,UB4 0RY,3
Hayes Rugby Football Club,UB4 8BZ,5
Hayes Spice,UB3 3EE,3
Hayes Working Mens Club,UB3 3NB,5
HBS Enterprises,UB8 2RT,AwaitingInspection
Hefaure,UB8 1JX,AwaitingInspection
Hennessys Bar,HA4 0AG,4
Herbies Pizza,UB8 2EN,5
Hilac,UB3 3EW,2
Hillingdon Abbots RFC,UB4 8PS,5
Hillingdon Athletic Club,HA4 7TJ,Exempt
Hillingdon Canal Club,UB8 2QX,5
Hillingdon Fish Bar,UB10 0LR,4
Hillingdon Golf Club,UB10 0JR,5
Hillingdon Hospital (Choices Restaurant),UB8 3NN,5
Hillingdon Kitchen,UB8 1ES,5
Hillingdon Learning & Development Centre,HA4 0LR,5
Hillingdon Manor Cricket Club,UB10 0PN,5
Hillingdon Sports & Leisure Complex,UB8 1ES,5
Hole 19 Ltd,UB10 8AQ,3
Holla Polo,UB8 3PH,5
Holland & Holland Ltd,HA6 2SS,5
Hollywood Pizza and Chicken,UB7 7BD,5
Holy Zam Zam 4,UB3 5DS,1
Home and Bar Restaurant,UB10 8LJ,5
Home Dining,UB7 8HX,3
Hong Kong Kitchen,UB8 2LX,1
Hooked Fish and Chips,UB7 8EY,5
Hop and Vine,HA4 7AN,4
Hot & Spicy,UB3 3ES,4
Hot Box Chicken,UB8 2LX,5
Hot House Pizza,UB10 8DG,AwaitingInspection
Hot House Pizza,UB4 0EL,3
Hot Spot,UB3 5DU,5
Hot Yoga House,HA4 9LS,5
Hughes's Pie & Mash,HA4 6LS,5
Hunterz Lounge,UB4 0RR,1
Hutt Grills ltd,UB8 2QD,3
IAG Cargo Ascentis Staff canteen,,5
Ickenham Cafe,UB10 8DQ,5
Ickenham Cricket Club,UB10 8UT,5
