BusinessName,PostCode,RatingValue
"""MU""",E8 4AA,5
"""Rio Cinema""",E8 2PB,3
&organic ltd,E50NS,AwaitingInspection
@las coffee house,E84AU,4
100 Hoxton,N1 6SG,5
119 Lower Clapton,E5 0NP,4
13 Express,e9 7px,5
13th Floor Coffee,N16 9ES,5
19 Numara Bos Cirrik 2,N16 7JD,4
21 Sid,E8 3SD,5
215 Hackney,N16 0LH,4
215 hackney,N4 2SB,5
22cooks,N1 5QA,4
27 Zeugma Kitchen Limited,N1 7RD,AwaitingInspection
3Lads,,3
42 Coffee Junction,N1 7SU,1
46b Espresso Hut,E9 6DA,4
52a Coffee House,N1 3JF,3
58 Gin,E8 4ED,5
A man and his cat,,5
A Slice of Blue,E5 0NS,3
A Taste of Hackney,,5
Aba Ra,E84QN,5
Ability North ondon,E5 8NB,AwaitingInspection
Abraco Dalston,N16 8BJ,4
Abstastify,,5
Acai Berry,E1 6GY,5
Accra Palace,E5 9JZ,4
ACE Pizza,E8 1JH,5
Acme Fire Cult,E8 3DP,5
Acoustic Brasserie,N16 0UD,5
Admiral,N16 0NY,AwaitingInspection
Aelita Books,E5 0QR,5
Aelita Books,E5 0QR,AwaitingInspection
Afrikana,E8 2JS,4
Ahorita Mexican Grill Ltd,E1 6JE,AwaitingInspection
AIDA,E1 6JE,4
Akami sushi / Poke Yum,n1 7sl,3
Akami sushi / Poke Yum,n1 7sl,AwaitingInspection
Akami sushi / Poke Yum,n1 7sl,AwaitingInspection
Albion Kitchen,N16 9PA,3
Ali Baba Kabab,E8 2NS,5
Alibi,E8 2PB,3
All Bar One,EC2A 2AS,5
All Flourished Cakes,E9 6AR,5
All Island Grill UK,N16 8JN,3
All Nations Vegan House Limited,N16 7SU,AwaitingInspection
All Nations Vegan House Limited,N16 8EL,AwaitingInspection
All Saints Church Hall,E8 4HT,Exempt
all the food LTD trading as bang,e28jl,AwaitingInspection
Allpress Espresso UK Ltd,E8 2NG,5
Allpress Espresso UK Ltd,E2 7DD,5
All's Well,E8 3RH,5
Almond Lane Coffee House,E8 2NR,5
ALON FOODS LIMITED,EC2A 4NE,5
Alt Beverages Ltd,N1 7GU,AwaitingInspection
Amazon Fresh,E8 2JS,5
Amazon Fresh Store,E2 8GY,5
Amazon Fresh Store,E2 8GY,AwaitingInspection
Amba,N167SX,AwaitingInspection
AMBA NAKNIK,E5 9NJ,1
Amboora,EC2A 3AG,AwaitingInspection
Amigos Burgers and Shakes,n167lj,4
Amo's,N16 0JU,5
AMURT UK,N16 6PA,AwaitingInspection
Anarkali,N1 7GT,AwaitingInspection
Anatolia Restaurant,E8 3NS,5
Andina,E2 7DJ,4
Angelina Hospitality Limited,E8 3AH,5
Anjelique Cafe,N1 5LG,5
Aperitivo Club,N1 5LG,3
Apollo,N16 7JL,5
Apothecary East,EC2A 3PG,5
Aramark @ NCC Hackney,N1 6HQ,5
Arans Cafe,N16 6TU,3
ARC Club,E9 6HX,5
Arel Coffee,E8 4AE,5
Arepa and Co.,N1 5RY,5
Argentinian Grill,E1 6GY,3
Armstrong Pharmacy,N4 2EX,5
Aroma cafe,E5 9JZ,AwaitingInspection
Arsenal Cafe,N4 2JF,4
Arsenal Tavern,N4 2JS,5
Artist Cafe,EC1V 9LA,4
Artist Sandwiches & Salads,EC1V (LA,4
ASADO,E5 9AG,2
Aso Rock,N16 8jn,3
Asorock smallchops,N168az,AwaitingInspection
Asorock smallchops,N168az,AwaitingInspection
Aspirar Caterers,N16 6AA,3
Atcha,E8 3RL,5
Atis,EC1V 1AZ,5
Atlantic Fish Bar,N4 2EX,2
Attawa,E8 2JP,5
Attendant Cafe,EC2A 3JG,5
Auld Shillelagh,N16 0UD,4
AUN,N16 0JL,4
Avo Spice,E8 3AH,4
Ayandastouch Catering,E8 2NP,5
Azam Taste of Kashmir,N16 7HU,2
Aziziye Restaurant,N16 8BU,5
Baba Souks,E8 4QJ,4
BABEK Brothers,EC2A 3EJ,5
Babel Cafe Restaurant,N16 7PA,2
B'Acino,EC2A 4PH,3
Backyard Grill,E5 0QR,4
Backyard Pizza,E9 5JH,AwaitingInspection
Bad Coffee,E9 5LX,5
Bagel buzz,E1 6LG,4
Bagel House,N16 7PL,5
Bagel Master Ltd,E2 8DY,4
Bagel on the park,E9 7HW,5
BAGEL SHOP N16,N16 0NB,4
Bake Street,N16 7SR,3
Bake yourself better,,AwaitingInspection
Bakes N Stuffingz,E15 2SJ,4
Balcone,E9 7HD,1
Ballie Ballerson & Rascals,EC2A 3BS,2
Balls,ec1v9le,4
bang kitchen,e84ae,AwaitingInspection
Bangers London,EC2A 3DU,5
Bangers London,NW6 6BA,AwaitingInspection
Bangkok Wok,EC2A 3EJ,AwaitingInspection
Banh Mi Etc,N16 0NX,4
Banh Mi Hoi-an,E8 1BP,5
Banim ltd,N16 6TZ,4
