BusinessName,PostCode,RatingValue
1 Way Pizzeria,SW10 9ED,5
110% Grill & Juice,SW3 5TX,4
240 Project,W10 6SU,5
28-50 Chelsea,SW3 5UH,5
28-50 Kensington,SW3 3AD,AwaitingInspection
30 Pavilion Road,SW1X 0HJ,AwaitingInspection
310 Portobello,W10 5TA,AwaitingInspection
508 Coffee,SW10 0TU,5
5dB Canteen,W10 5DD,4
606 Club,SW10 0QD,5
7 Saints,W11 1HA,5
Abdel Wahab,SW1X 9EJ,4
Acai Berry,SW3 5EL,5
Açaí Verao,W11 2ES,5
Acklam 242 Cafe,W10 5JJ,5
Addies Thai Restaurant & Bar,SW5 9RL,4
Admiral,SW5 9RQ,Exempt
Admiral Codrington,SW3 2LY,4
ADORA PIZZA,W8 4PE,5
Adriana's,W10 6LN,5
Aglio E Olio,SW10 9PN,3
Akira at Japan House,W8 5SA,2
Akoya,,5
Akub,W8 7TQ,5
AL Arez Restaurant,SW7 3ES,5
Al Dente,SW7 3JS,5
Alexandrie,W8 4BX,5
Alounak,W14 8EZ,3
Amar Cafe,SW3 3QS,AwaitingInspection
Amaro Bar,,5
Amelia Limited,SW3 3NT,5
Amoret Speciality Coffee,W11 3HG,5
Amorino,,5
Amorino,SW3 4NT,5
Amorino,,5
Anglesea Arms,SW7 3QG,5
Antelope,SW1W 8EZ,5
Anya Cafe,SW1X 9EJ,5
Apadana,W8 6NW,5
Apero Restaurant and Bar,SW7 3ER,5
Aramark @ The Carlton Tower Jumeirah,SW1X 9PY,5
Arancina,W11 3HG,5
Archer Street,W11 3QG,5
Argan Tree Cafe,W10 6TJ,5
Arzet Lebnan,SW10 0HE,3
Ask,SW7 4SF,5
Assembly Mezze & Skewers,SW1X 7XL,AwaitingInspection
Atis Notting Hill,W11 3HG,5
Aubaine,SW3 2AS,5
Auriens Chelsea,W3,5
Aux Merveilleux De Fred,SW7 3LQ,5
Aveda,W14 8EZ,4
Azteca,SW3 5ES,5
Azzurra Restaurant Limited,SW1X 9AS,AwaitingInspection
B Bagel Bakery Bar,SW10 9NB,5
B London,SW7 3LQ,AwaitingInspection
Baalbakis Restaurant,,5
Baba Ghanouj,SW7 4SS,5
Badiani,W11 3HX,5
Badiani Limited,SW10 9QH,5
Balans,W8 6SH,5
Bandol,SW10 9HY,5
Banh Me,W8 4PE,5
Barnbury,SW3 6UH,AwaitingInspection
Barts,SW3 3EL,5
BaxterStorey Limited,W8 5SW,5
Beach Blanket Babylon,,3
Beauchamp Hospitality,SW3 1NQ,4
Beaufort House,SW3 5UZ,5
Beaverbrook Townhouse,SW1X 9PJ,5
Bella Italia,SW7 3DY,5
Belmond Cadogon Hotel,SW1X 9SG,5
Beluga,W11 3LF,5
Belvedere Restaurant,W8 6LU,5
Benihana Restaurant,SW3 4NX,5
Ben's Cookies,SW7 2ND,5
Ben's Cookies,W8 5SF,5
Benugo,SW7 5BD,5
Benugo (Catering at V&A),SW7 2RL,5
Benugo at Peter Jones,SW1W 8EL,5
Benugo Limited @ Science Museum,SW7 2DD,5
Bertie Blossoms,W10 5SY,5
Better Coffee Corner,W10 6EX,5
Bibida,W8 7SP,5
Big City Dog,W8 7RG,5
Big Fernand,SW7 2HP,5
Bird & Blend Tea Co.,W11 2EB,5
Birley Bakery,SW3 3QU,5
Black Rabbit Cafe,SW5 9JF,4
Blackbird,SW5 9AN,5
Blakes,W10 5NE,5
Blanche Eatery,W11 1LT,3
Blank Street,SW7 2NA,5
Blank Street,SW7 4SF,5
Blank Street,W11 3JS,5
Blank Street Coffee,SW3 4NT,AwaitingInspection
Blend Juice & Coffee Bar,W8 7LN,5
Bluebelles,W10 5RU,5
Bluebird Chelsea,SW3 5UU,5
Bocca Lounge & Restaurant,,5
Body Machine Performance Studio,W8 4PE,5
Bodyism London - Clean And Lean Cafe,W11 2RH,5
