BusinessName,PostCode,RatingValue
255 Broadway Staff Restaurant,DA17 6JN,4
A Gift From The Gods,DA6 7JJ,2
ABCatering,DA6 8JS,5
Aces Brunch,DA14 6EN,AwaitingInspection
Afishionados,DA8 2BX,4
Albany Grill,DA5 3HG,5
Anchor,DA5 1JE,AwaitingInspection
Angel Hill Cafe At Ocado,DA8 1DE,5
Angelica's Cafe,DA6 7JJ,5
Antalya Turkish Grill,DA15 8PR,4
Anzar,DA6 7ER,5
Apple Yard,DA15 7AA,5
Arcadia Lounge Bar,DA6 8DB,5
Assos Restaurant,DA1 4ES,4
Atalian Servest Food Company,DA8 1DE,5
Au Lounge,DA15 7AJ,5
Avenida,DA16 3PG,5
Baba's Kebab,DA15 9JN,5
Bakers And Baristas,DA6 7JJ,AwaitingInspection
Baltizer Indian Restaurant,DA5 1LA,4
Bamboo,DA5 1AD,5
Banana Garden,DA15 9ER,4
Barnehurst Golf Club,DA7 6JU,4
Barnehurst Kebab House,DA7 6HG,2
Bartlett Mitchell At Bird College,DA14 4ED,5
Basecamp Lounge And Restaurant,DA6 8AL,5
Basil's@ Re-Instate,DA8 1AN,5
BBQ Xpress Also T/a The Fat Pizza/The Fat Burger & Desserts,DA16 3PB,4
Beano's Cafe,DA7 6EJ,5
Bear & Ragged Staff,DA1 4BH,5
Beijing Spring,DA5 3HP,4
Beijing Takeaway,DA8 2BX,5
Beirut City Restaurant,DA6 7AU,4
Bella Napoli Pizzeria,DA16 3PB,5
Bellegrove Social Club,DA16 3QD,4
Belmont Balti House,DA8 1JY,3
Belvedere Community Cafe,DA17 6AA,5
Belvedere Kebab & Pizzas,DA17 5DB,5
Belvedere North Conservative Club,DA17 5AA,4
Belvedere Social Club,DA17 5JQ,5
Belvedere Sports & Social Club,SE2 0DY,4
Belvedere Tandoori,DA17 5JF,5
Belvedere Working Men's Club,DA17 5DA,5
Bengal Spice,DA16 3QR,3
Bengal Tandoori,DA14 5HU,4
Best Kebab,DA6 8AA,4
Best Kebab Ye,DA16 3QS,3
Bexley & Sidcup Conservative Club,DA15 7EB,5
Bexley Charcoal Grill,DA5 1JX,4
Bexley Country Markets Cafe,DA5 1AB,5
Bexley Cricket Club,DA5 3QG,5
Bexley Fried Chicken,DA8 3EX,4
Bexley Kitchen,DA5 1AA,3
Bexley Lawn Tennis & Squash Club,DA5 1AX,5
Bexley Pizza Peri Peri,DA7 6BU,AwaitingInspection
Bexley Village Library,DA5 1LU,4
Bexleyheath & District Club For Disabled,DA6 8JP,5
Bexleyheath Brewers Fayre,DA6 7AR,5
Bexleyheath Golf Club,DA6 8JS,5
Bexleyheath Working Mens Club,DA6 7HG,5
Big Daddy's,DA7 6HG,5
Big Daddy's Kitchen,DA17 6AW,3
Bindaas,DA6 7ER,5
Black Horse Public House,DA5 1NT,5
Blackfen Cafe,DA15 9LU,4
Blend,DA6 8BE,3
Bo Bao Bubble Tea,DA16 1TU,4
Boba And Beyond,DA16 3PY,AwaitingInspection
Boba Bar Magic,,4
Bornerra Foods,,5
Boyles',DA15 7DN,5
BP ERITH,DA8 3EX,AwaitingInspection
BP Erith Service Station And Subway,DA8 3EX,5
Bramptons Sandwich Bar,DA7 4SY,5
Brasa Bar & Grill,DA16 1TR,5
Bread \& Roses Tearoom,DA14 6HH,5
British Raj,DA1 4EF,3
Broadway Traditional Fish & Chips,DA6 8DT,5
Bubble And Squeak Cafe,DA1 4ES,4
Burger King,DA6 7JJ,4
Burnt Ash (Bexley) Hockey Club,DA5 3QG,5
Buzz Bingo,DA6 7LL,5
Cacio E Pepe,DA15 8DG,4
Cafe Concerto At Sidcup Railway Station,DA15 7AW,4
Cafe De Belvedere,DA17 5QQ,5
Cafe Deluxe,DA16 3PR,5
Cafe Lecole At Marlborough Park School,DA15 9DL,5
Cafe Mojito,DA6 7EJ,5
Cafe On The Green,DA16 2PL,3
Caffe Cino's,DA5 3HG,5
Caffe Nero,DA6 7HF,4
Caffe Nero,DA14 6DJ,4
Caffe Papavero,DA8 1TY,5
Caffe Papavero,DA5 1AQ,5
Canteen At Asda Erith CDC,DA17 6JY,5
Canteen At Asda Erith XDC,DA17 6JY,5
Canteen Of Ferndale Foods,DA18 4AR,4
Catch.,DA14 6EH,5
Cedrus Lebanese Cuisine,DA14 6EH,4
Central Park,DA7 4QP,AwaitingInspection
Chan,DA7 6HD,3
Chestnuts Kiosk,SE2 0AX,5
Chez Pascal,DA15 7DU,5
Chick Chicken,DA16 3AX,3
Chicken & Pizza Station,DA17 6JJ,4
Chicken World Peri Peri,DA15 8QD,5
Chilli Chill,DA8 1PU,4
China Garden,DA17 5LJ,4
China Garden,DA14 6HH,4
China Red Chinese Takeaway,DA8 1PP,4
Chinagaga,DA7 4JJ,5
Chinchins Coffee House,DA6 7ES,5
Chupitos Tapas Bar & Restaurant,DA16 3HF,5
Cineworld,DA6 7LL,5
Coast Bar & Grill,DA14 6EZ,5
Cod Rocks,DA16 2PL,5
Coffee &,DA8 3AT,3
Coffee Mill & Kitchen,DA5 1AH,5
Copper House Blackfen,DA15 9NB,5
Corner Pin PH,DA8 2HX,5
Costa,DA8 1SE,5
Costa,DA1 4LD,5
Costa,DA6 7JJ,5
Costa,DA16 1TH,5
Costa Coffee,DA15 7AX,5
Costa Coffee,DA5 1AF,5
Costa Coffee,DA15 9LU,5
Costa Coffee,DA14 6ED,3
Craft T Cake,DA5 3AP,5
Cray Bites,DA14 5HL,3
Crayford Arms,DA1 4HH,5
Crayford Arrows Sports Club,DA1 4RJ,5
Crayford Fish & Chips,DA1 4HA,5
Crayford Kebab,DA1 4HH,3
Crayford Social Club,DA1 4JA,4
Crayford Tandoori Restaurant,DA1 4JJ,1
